Order_ID,Order_Date,Region,State,Segment,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit,Month,Year,Profit_Margin_Percent
ORD-00001,2025-04-13,East,Bihar,Corporate,Office Supplies,Binders,2,875.93,0.0,1751.86,274.48,2025-04,2025,15.67
ORD-00002,2025-11-10,West,Maharashtra,Consumer,Technology,Accessories,8,3008.38,0.0,24067.08,639.9,2025-11,2025,2.66
ORD-00003,2025-11-12,West,Gujarat,Consumer,Technology,Phones,4,25405.34,0.05,96540.28,4740.12,2025-11,2025,4.91
ORD-00004,2025-08-06,North,Punjab,Corporate,Office Supplies,Paper,7,265.51,0.05,1765.65,261.64,2025-08,2025,14.82
ORD-00005,2025-01-15,South,Telangana,Consumer,Office Supplies,Binders,8,620.86,0.05,4718.55,656.27,2025-01,2025,13.91
ORD-00006,2025-03-03,North,Haryana,Home Office,Furniture,Tables,1,7685.8,0.05,7301.51,1170.75,2025-03,2025,16.03
ORD-00007,2025-12-18,West,Maharashtra,Consumer,Furniture,Tables,7,8411.64,0.15,50049.29,9893.47,2025-12,2025,19.77
ORD-00008,2025-10-13,Central,Chhattisgarh,Consumer,Office Supplies,Binders,1,527.27,0.0,527.27,89.02,2025-10,2025,16.88
ORD-00009,2025-11-11,North,Uttar Pradesh,Consumer,Furniture,Chairs,2,5358.34,0.0,10716.69,3232.72,2025-11,2025,30.17
ORD-00010,2025-05-06,South,Tamil Nadu,Consumer,Furniture,Tables,4,10849.06,0.0,43396.23,9618.33,2025-05,2025,22.16
ORD-00011,2025-12-15,Central,Chhattisgarh,Corporate,Office Supplies,Storage,7,1333.33,0.15,7933.29,2106.03,2025-12,2025,26.55
ORD-00012,2025-04-09,South,Tamil Nadu,Consumer,Office Supplies,Binders,1,379.37,0.15,322.46,79.32,2025-04,2025,24.6
ORD-00013,2025-04-26,South,Tamil Nadu,Consumer,Office Supplies,Paper,6,171.48,0.05,977.44,152.25,2025-04,2025,15.58
ORD-00014,2025-05-15,East,West Bengal,Consumer,Furniture,Bookcases,7,8495.54,0.15,50548.43,6876.46,2025-05,2025,13.6
ORD-00015,2025-10-31,South,Karnataka,Home Office,Office Supplies,Binders,6,873.32,0.0,5239.94,1032.37,2025-10,2025,19.7
ORD-00016,2025-06-10,North,Uttar Pradesh,Home Office,Furniture,Tables,2,9341.73,0.0,18683.46,4891.0,2025-06,2025,26.18
ORD-00017,2025-02-08,South,Karnataka,Corporate,Furniture,Tables,5,5457.7,0.05,25924.09,5384.3,2025-02,2025,20.77
ORD-00018,2025-12-08,North,Punjab,Corporate,Furniture,Chairs,2,5921.81,0.0,11843.62,1543.65,2025-12,2025,13.03
ORD-00019,2025-12-16,West,Rajasthan,Home Office,Technology,Phones,2,21303.48,0.0,42606.95,4418.69,2025-12,2025,10.37
ORD-00020,2025-10-17,South,Andhra Pradesh,Consumer,Office Supplies,Binders,8,226.92,0.0,1815.34,252.03,2025-10,2025,13.88
ORD-00021,2025-04-04,Central,Chhattisgarh,Corporate,Technology,Laptops,5,45392.11,0.05,215612.53,62807.49,2025-04,2025,29.13
ORD-00022,2025-11-21,East,Bihar,Corporate,Office Supplies,Storage,4,1720.22,0.0,6880.87,964.39,2025-11,2025,14.02
ORD-00023,2025-09-10,South,Karnataka,Consumer,Technology,Laptops,2,55437.47,0.2,88699.96,17704.01,2025-09,2025,19.96
ORD-00024,2025-12-23,East,Bihar,Consumer,Office Supplies,Paper,8,549.33,0.1,3955.16,727.79,2025-12,2025,18.4
ORD-00025,2025-07-06,South,Tamil Nadu,Corporate,Technology,Phones,1,21175.98,0.1,19058.38,5304.25,2025-07,2025,27.83
ORD-00026,2025-02-26,South,Telangana,Home Office,Furniture,Bookcases,2,12257.37,0.1,22063.27,2968.67,2025-02,2025,13.46
ORD-00027,2025-10-10,East,West Bengal,Home Office,Furniture,Tables,8,12490.5,0.1,89931.59,15265.42,2025-10,2025,16.97
ORD-00028,2025-01-19,South,Karnataka,Consumer,Technology,Laptops,2,81031.69,0.05,153960.21,31910.9,2025-01,2025,20.73
ORD-00029,2025-02-27,South,Tamil Nadu,Home Office,Furniture,Bookcases,6,5411.48,0.1,29221.98,5752.06,2025-02,2025,19.68
ORD-00030,2025-01-12,Central,Chhattisgarh,Consumer,Office Supplies,Binders,4,462.59,0.0,1850.37,445.12,2025-01,2025,24.06
ORD-00031,2025-08-28,South,Andhra Pradesh,Home Office,Technology,Laptops,8,90150.59,0.2,576963.8,95399.69,2025-08,2025,16.53
ORD-00032,2025-10-09,North,Punjab,Corporate,Office Supplies,Binders,2,699.93,0.1,1259.87,341.95,2025-10,2025,27.14
ORD-00033,2025-03-24,South,Andhra Pradesh,Home Office,Technology,Phones,5,17252.97,0.0,86264.84,24436.86,2025-03,2025,28.33
ORD-00034,2025-08-24,West,Gujarat,Consumer,Office Supplies,Binders,7,884.37,0.05,5881.06,278.48,2025-08,2025,4.74
ORD-00035,2025-09-06,West,Rajasthan,Consumer,Furniture,Bookcases,1,8780.06,0.05,8341.06,1023.6,2025-09,2025,12.27
ORD-00036,2025-09-06,North,Uttar Pradesh,Corporate,Technology,Laptops,4,55740.04,0.0,222960.15,34648.47,2025-09,2025,15.54
ORD-00037,2025-11-22,South,Telangana,Consumer,Technology,Laptops,6,54294.97,0.15,276904.33,29602.01,2025-11,2025,10.69
ORD-00038,2025-12-21,South,Karnataka,Consumer,Furniture,Tables,4,7907.9,0.0,31631.59,6626.26,2025-12,2025,20.95
ORD-00039,2025-08-15,North,Uttar Pradesh,Consumer,Technology,Phones,7,21272.77,0.0,148909.4,33865.17,2025-08,2025,22.74
ORD-00040,2025-02-03,West,Maharashtra,Consumer,Furniture,Tables,6,8959.7,0.05,51070.32,12461.74,2025-02,2025,24.4
ORD-00041,2025-12-16,South,Karnataka,Consumer,Office Supplies,Storage,8,4197.61,0.1,30222.8,7969.5,2025-12,2025,26.37
ORD-00042,2025-07-22,West,Rajasthan,Consumer,Office Supplies,Binders,6,169.83,0.0,1018.99,176.21,2025-07,2025,17.29
ORD-00043,2025-01-10,West,Gujarat,Corporate,Office Supplies,Binders,4,379.09,0.2,1213.1,28.75,2025-01,2025,2.37
ORD-00044,2025-05-17,South,Karnataka,Consumer,Technology,Laptops,5,82716.04,0.15,351543.16,59231.16,2025-05,2025,16.85
ORD-00045,2025-10-23,North,Uttar Pradesh,Corporate,Furniture,Bookcases,1,9750.86,0.2,7800.69,1681.37,2025-10,2025,21.55
ORD-00046,2025-02-11,South,Karnataka,Consumer,Office Supplies,Binders,7,263.64,0.1,1660.9,233.5,2025-02,2025,14.06
ORD-00047,2025-06-08,North,Delhi,Corporate,Technology,Accessories,5,4745.35,0.2,18981.4,3008.64,2025-06,2025,15.85
ORD-00048,2025-05-14,North,Haryana,Consumer,Technology,Accessories,5,1908.09,0.1,8586.38,2354.81,2025-05,2025,27.42
ORD-00049,2025-10-14,West,Gujarat,Home Office,Technology,Laptops,6,42368.65,0.05,241501.29,25059.06,2025-10,2025,10.38
ORD-00050,2025-07-21,East,West Bengal,Consumer,Furniture,Bookcases,1,10251.28,0.05,9738.72,1491.02,2025-07,2025,15.31
ORD-00051,2025-12-10,North,Delhi,Consumer,Furniture,Tables,2,10097.43,0.0,20194.85,5452.45,2025-12,2025,27.0
ORD-00052,2025-07-30,North,Punjab,Consumer,Technology,Phones,8,29769.44,0.0,238155.52,69626.46,2025-07,2025,29.24
ORD-00053,2025-12-25,East,Odisha,Consumer,Technology,Laptops,1,44369.16,0.0,44369.16,12422.62,2025-12,2025,28.0
ORD-00054,2025-03-08,Central,Chhattisgarh,Corporate,Technology,Laptops,8,86341.79,0.0,690734.3,111606.95,2025-03,2025,16.16
ORD-00055,2025-05-27,South,Karnataka,Home Office,Furniture,Tables,7,4962.08,0.15,29524.37,3953.38,2025-05,2025,13.39
ORD-00056,2025-12-08,East,West Bengal,Home Office,Office Supplies,Storage,8,2782.01,0.0,22256.07,6679.37,2025-12,2025,30.01
ORD-00057,2025-04-08,South,Karnataka,Corporate,Office Supplies,Binders,1,209.51,0.05,199.03,47.79,2025-04,2025,24.01
ORD-00058,2025-11-05,South,Telangana,Consumer,Office Supplies,Binders,2,154.6,0.15,262.82,61.58,2025-11,2025,23.43
ORD-00059,2025-08-20,West,Gujarat,Consumer,Furniture,Tables,8,5194.25,0.0,41553.99,1830.63,2025-08,2025,4.41
ORD-00060,2025-08-05,East,Odisha,Corporate,Furniture,Bookcases,5,12785.45,0.05,60730.88,8340.84,2025-08,2025,13.73
ORD-00061,2025-03-21,Central,Chhattisgarh,Corporate,Furniture,Chairs,6,8643.32,0.2,41487.92,8345.76,2025-03,2025,20.12
ORD-00062,2025-03-27,Central,Chhattisgarh,Consumer,Technology,Accessories,8,4874.38,0.0,38995.04,9052.13,2025-03,2025,23.21
ORD-00063,2025-10-28,South,Telangana,Corporate,Furniture,Tables,4,14461.05,0.05,54952.0,17478.49,2025-10,2025,31.81
ORD-00064,2025-09-08,Central,Madhya Pradesh,Consumer,Furniture,Bookcases,6,13547.29,0.0,81283.72,21744.73,2025-09,2025,26.75
ORD-00065,2025-06-26,South,Andhra Pradesh,Consumer,Technology,Laptops,6,51635.94,0.0,309815.63,73646.54,2025-06,2025,23.77
ORD-00066,2025-10-22,Central,Chhattisgarh,Corporate,Furniture,Tables,1,7612.68,0.0,7612.68,2371.0,2025-10,2025,31.15
